MUNICIPIO;QUANTIDADE
230820 Meruoca;16
230830 Milagres;35
230835 Milhã;17
230837 Miraíma;12
230840 Missão Velha;37
230850 Mombaça;26
230860 Monsenhor Tabosa;19
230870 Morada Nova;56
230880 Moraújo;10
230890 Morrinhos;17
230900 Mucambo;10
230910 Mulungu;10
230920 Nova Olinda;16
230930 Nova Russas;26
230940 Novo Oriente;25
230945 Ocara;24
230950 Orós;28
230960 Pacajus;54
230970 Pacatuba;27
230980 Pacoti;14
230990 Pacujá;9
231000 Palhano;7
231010 Palmácia;7
231020 Paracuru;24
231025 Paraipaba;24
231030 Parambu;30
231040 Paramoti;8
231050 Pedra Branca;41
231060 Penaforte;15
231070 Pentecoste;26
231080 Pereiro;14
231085 Pindoretama;19
231090 Piquet Carneiro;14
231095 Pires Ferreira;8
231100 Poranga;11
231110 Porteiras;15
231120 Potengi;12
231123 Potiretama;7
231126 Quiterianópolis;39
231130 Quixadá;121
231135 Quixelô;19
231140 Quixeramobim;67
231150 Quixeré;18
231160 Redenção;35
231170 Reriutaba;15
231180 Russas;80
231190 Saboeiro;14
231195 Salitre;21
231220 Santa Quitéria;27
231200 Santana do Acaraú;17
231210 Santana do Cariri;11
